"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 16:24:19 GMT 2024","Fri Dec 20 16:24:19 GMT 2024","557","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Fri Dec 20 16:24:19 GMT 2024","Fri Dec 20 16:24:20 GMT 2024","563","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","UserLogout_POST","UserLogout_POST",""
"passed","Fri Dec 20 16:24:11 GMT 2024","Fri Dec 20 16:24:12 GMT 2024","631","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"skipped","Fri Dec 20 16:24:21 GMT 2024","Fri Dec 20 16:24:21 GMT 2024","1","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","DeleteUser","DeleteUser","DeleteUserAccount_DELETE","DeleteUserAccount_DELETE",""
"passed","Fri Dec 20 16:24:04 GMT 2024","Fri Dec 20 16:24:07 GMT 2024","3010","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","CreateUser","CreateUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Fri Dec 20 16:24:15 GMT 2024","Fri Dec 20 16:24:18 GMT 2024","2842","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Fri Dec 20 16:24:07 GMT 2024","Fri Dec 20 16:24:09 GMT 2024","1620","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 20 16:24:09 GMT 2024","Fri Dec 20 16:24:10 GMT 2024","620","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Fri Dec 20 16:24:18 GMT 2024","Fri Dec 20 16:24:19 GMT 2024","812","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Fri Dec 20 16:24:10 GMT 2024","Fri Dec 20 16:24:10 GMT 2024","580","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"skipped","Fri Dec 20 16:24:20 GMT 2024","Fri Dec 20 16:24:20 GMT 2024","0","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","changePassword","changePassword","ChangePassword_POST","ChangePassword_POST",""
"failed","Fri Dec 20 16:24:20 GMT 2024","Fri Dec 20 16:24:21 GMT 2024","561","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","DeleteUser","DeleteUser","LoginUser_POST","LoginUser_POST",""
"failed","Fri Dec 20 16:24:20 GMT 2024","Fri Dec 20 16:24:20 GMT 2024","566","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","changePassword","changePassword","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 20 16:24:10 GMT 2024","Fri Dec 20 16:24:11 GMT 2024","565","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","Language_GET","Language_GET",""
"passed","Fri Dec 20 16:24:11 GMT 2024","Fri Dec 20 16:24:11 GMT 2024","571","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","UserPhoneDetails_GET","UserPhoneDetails_GET",""
"passed","Fri Dec 20 16:24:12 GMT 2024","Fri Dec 20 16:24:13 GMT 2024","624","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Fri Dec 20 16:24:13 GMT 2024","Fri Dec 20 16:24:15 GMT 2024","2192","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
