"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 18:59:08 GMT 2024","Fri Dec 20 18:59:09 GMT 2024","759","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Fri Dec 20 18:59:01 GMT 2024","Fri Dec 20 18:59:03 GMT 2024","2876","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","CreateUser","CreateUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Fri Dec 20 18:59:12 GMT 2024","Fri Dec 20 18:59:14 GMT 2024","2585","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetFeedback_POST","GetFeedback_POST",""
"skipped","Fri Dec 20 18:59:17 GMT 2024","Fri Dec 20 18:59:17 GMT 2024","1","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","changePassword","changePassword","ChangePassword_POST","ChangePassword_POST",""
"passed","Fri Dec 20 18:59:14 GMT 2024","Fri Dec 20 18:59:15 GMT 2024","862","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Fri Dec 20 18:59:07 GMT 2024","Fri Dec 20 18:59:07 GMT 2024","723","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","Language_GET","Language_GET",""
"passed","Fri Dec 20 18:59:15 GMT 2024","Fri Dec 20 18:59:16 GMT 2024","697","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","ForgotPassword_POST","ForgotPassword_POST",""
"failed","Fri Dec 20 18:59:17 GMT 2024","Fri Dec 20 18:59:18 GMT 2024","690","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","DeleteUser","DeleteUser","LoginUser_POST","LoginUser_POST",""
"failed","Fri Dec 20 18:59:17 GMT 2024","Fri Dec 20 18:59:17 GMT 2024","697","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","changePassword","changePassword","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 20 18:59:05 GMT 2024","Fri Dec 20 18:59:06 GMT 2024","734","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Fri Dec 20 18:59:16 GMT 2024","Fri Dec 20 18:59:17 GMT 2024","710","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","UserLogout_POST","UserLogout_POST",""
"passed","Fri Dec 20 18:59:06 GMT 2024","Fri Dec 20 18:59:07 GMT 2024","722","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Fri Dec 20 18:59:04 GMT 2024","Fri Dec 20 18:59:05 GMT 2024","1671","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 20 18:59:09 GMT 2024","Fri Dec 20 18:59:10 GMT 2024","752","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"skipped","Fri Dec 20 18:59:18 GMT 2024","Fri Dec 20 18:59:18 GMT 2024","0","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","DeleteUser","DeleteUser","DeleteUserAccount_DELETE","DeleteUserAccount_DELETE",""
"passed","Fri Dec 20 18:59:10 GMT 2024","Fri Dec 20 18:59:12 GMT 2024","2147","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Fri Dec 20 18:59:07 GMT 2024","Fri Dec 20 18:59:08 GMT 2024","712","AI Coach Staging API","C:/Users/visha/IdeaProjects/AI_Coach","APITest","APITest","UserPhoneDetails_GET","UserPhoneDetails_GET",""
